instances/b01.stp,PF,2.25,2408,82
instances/b02.stp,PF,2.279,3612,83
instances/b03.stp,PF,2.406,7224,138
instances/b04.stp,PF,2.28,3592,59
instances/b05.stp,PF,2.475,5388,61
instances/b06.stp,PF,3.565,10776,122
instances/b07.stp,PF,2.338,5400,111
instances/b08.stp,PF,2.522,8100,104
instances/b09.stp,PF,2.864,16650,220
instances/b10.stp,PF,3.152,8088,86
instances/b11.stp,PF,5.383,12132,88
instances/b12.stp,PF,9.166,24938,174
instances/b13.stp,PF,2.693,9584,165
instances/b14.stp,PF,3.147,14376,235
instances/b15.stp,PF,3.88,29351,318
instances/b16.stp,PF,7.484,14384,127
instances/b17.stp,PF,10.827,21576,131
instances/b18.stp,PF,21.047,44051,218
instances/b01.stp,P2T,2.606,1096,82
instances/b02.stp,P2T,2.543,1644,83
instances/b03.stp,P2T,2.665,3288,138
instances/b04.stp,P2T,2.46,1392,59
instances/b05.stp,P2T,2.805,2088,61
instances/b06.stp,P2T,5.599,4176,122
instances/b07.stp,P2T,2.586,2466,111
instances/b08.stp,P2T,2.92,3699,104
instances/b09.stp,P2T,4.737,7809,220
instances/b10.stp,P2T,4.85,3138,86
instances/b11.stp,P2T,10.962,4707,88
instances/b12.stp,P2T,32.936,9937,174
instances/b13.stp,P2T,3.557,4384,165
instances/b14.stp,P2T,5.379,6576,235
instances/b15.stp,P2T,11.452,13700,318
instances/b16.stp,P2T,16.545,5584,127
instances/b17.stp,P2T,40.226,8376,131
instances/b18.stp,P2T,154.118,17450,218
instances/b01.stp,PF2,2.259,2145,82
instances/b02.stp,PF2,2.416,3193,83
instances/b03.stp,PF2,3.478,6337,138
instances/b04.stp,PF2,2.83,3033,59
instances/b05.stp,PF2,3.394,4525,61
instances/b06.stp,PF2,21.957,9001,122
instances/b07.stp,PF2,2.982,4784,111
instances/b08.stp,PF2,3.29,7139,104
instances/b09.stp,PF2,5.175,14916,220
instances/b10.stp,PF2,6.214,6800,86
instances/b11.stp,PF2,18.626,10163,88
instances/b12.stp,PF2,119.728,21300,174
instances/b13.stp,PF2,6.03,8467,165
instances/b14.stp,PF2,7.909,12651,235
instances/b15.stp,PF2,16.402,26151,318
instances/b16.stp,PF2,50.725,12067,127
instances/b17.stp,PF2,101.536,18051,131
